Bucket,Color/Number,Old/New,Species,Date_initial_measure,Length_pre,Width_pre,Height_pre,Weight,Mortality_Date,Date_FinalMeasurement,Length_post,Width_post,Height_post,Weight_post ,live_barnacles,dead_barnacles,polydora_scars,RFTM_Date,RFTM_score,Parasites,
LM1,O77,NEW,CV,6/19/2018,43.78,34.37,15.61,7.94,,10/15/2018,43.87,32.42,11.13,11.78,0,0,0,,,,
HM7,G32,NEW,CV,6/20/2018,41.9,34.06,14.43,9.1,,,45.09,30.19,10.12,11.75,0,0,0,30-Oct,0,,
HP9,Y77,OLD,CV,6/13/2018,32.37,22.82,7.55,3.3,,10/19/2018,38.2,30.22,11.27,11.75,0,0,1,,,,
HM8,O83,NEW,CV,6/19/2018,41.03,23.27,14.36,4.13,,,44.11,28.41,10.61,11.69,0,0,0,,,,
LP1,O99,OLD,CV,6/12/2018,33.64,25.5,10.05,5.4,,15-Oct,41.75,32.24,12.02,11.63,1,,,23-Oct,0,,
HP3,W36,NA,IR,6/21/2018,48.14,28.61,17.35,8.27,,,47.81,24.42,17.51,11.6,0,0,0,27-Oct,0,,
HP5,G83,OLD,CV,6/13/2018,46.96,23.41,8.52,6.09,,,42.43,27.2,11.43,11.6,0,0,1,29-Oct,0,,
HM9,O14,NEW,CV,6/19/2018,29.26,20.87,12.59,3.01,,,44.35,29.6,9.97,11.58,0,0,0,31-Oct,0,,
HP9,Y67,OLD,CV,6/13/2018,26.55,19.53,6.51,1.98,,10/19/2018,45.52,32.57,11.1,11.58,0,0,1,,,,
HP4,W62,NA,IR,6/21/2018,46.35,25,16.77,9.45,,,46.81,23.96,16.71,11.57,0,0,0,29-Oct,0,,
HM8,G99,NEW,CV,6/20/2018,36.91,24.17,11.05,4.17,,,40.13,29.84,11.22,11.56,0,0,0,1-Nov,0,,
HP3,W36,OLD,CV,6/19/2018,41.73,24.46,14.4,5.29,,,42.53,28.62,10.62,11.54,0,0,0,27-Oct,0,,
HM1,G64,NEW,CV,6/20/2018,32.68,25.85,9.96,4.26,,10/15/2018,43.3,28.44,12.84,11.51,0,0,0,23-Oct,0,,
,15,,CV,,,,,,,,41.46,37.18,12,11.5,0,0,0,,,,
HP3,Y83,NEW,CV,6/19/2018,35.02,20.41,11.19,2.87,,,45.11,31.85,11.04,11.47,0,0,0,27-Oct,0,,
LM4,12,,CV,,,,,,,10/17/2018,42.26,31.18,12.3,11.47,1,0,0,,,,
LM8,W4,OLD,CV,6/19/2018,42.46,21.14,11.71,5.66,,10/17/2018,47.52,27.6,10.62,11.45,0,0,0,27-Oct,0,,
HM5,O38,NEW,CV,6/19/2018,52.72,27.84,14.34,6.52,,,45.82,26.79,11.8,11.44,1,0,0,30-Oct,0,,
LM9,W28,OLD,CV,6/19/2018,36.84,23.11,10.87,3.57,,,40.74,34.65,10.87,11.42,0,0,0,,,,
LM9,W31,OLD,CV,6/19/2018,34.75,28.56,11.61,3.97,,,40.74,34.65,10.87,11.42,0,0,0,1-Nov,0,,
HM6,O8,NEW,CV,6/19/2018,27.59,23.96,9.48,2.35,,,44.81,31.81,11.06,11.4,0,0,0,,,,
HP1,W26,OLD,CV,6/19/2018,44.38,22.62,13.51,5.12,,,62.61,28.95,12.78,11.4,0,0,0,22-Oct,0,,
HP4,G8,OLD,CV,6/13/2018,31.8,26.35,8.08,3.9,,,51.58,27.52,10.62,11.39,0,0,1,27-Oct,0,,
HM9,O58,NEW,CV,6/19/2018,45.1,25.41,16.16,8.6,,,43.87,29.11,10.38,11.37,0,0,0,31-Oct,0,,
HM6,Y57,,CV,,,,,,,,48.6,28.09,10.02,11.36,0,0,1,,,,
HP6,G80,OLD,CV,6/13/2018,33.92,24.41,10.19,4.61,,,47.85,30.25,12.82,11.32,0,0,0,30-Oct,0,,
HP9,Y69,OLD,CV,6/13/2018,35.08,24.55,7.67,5.51,,10/19/2018,44.71,28.86,11.64,11.29,0,0,0,30-Oct,0,,
LP2,O60,,CV,,,,,,,,44.45,29.58,12.44,11.29,,,,,,,
HP7,W54,NA,IR,6/21/2018,45.47,24.93,16.45,8.77,10/18/2018,10/18/2018,41.9,25.32,17.14,11.26,0,0,0,30-Oct,0,,
LP7,Y18,OLD,CV,6/13/2018,41.15,24.68,7.29,5.45,,,45.7,30.6,13.02,11.26,,,,30-Oct,0,,
LM2,G39,NEW,CV,6/20/2018,42.37,31.69,13.14,5.93,,10/16/2018,41.15,29.36,12.36,11.25,0,0,0,27-Oct,0,,
LP4,G2,OLD,CV,6/13/2018,37.18,28.89,10.21,6.14,,,44.47,29.6,11.16,11.25,0,0,0,25-Oct,0,,
HP1,O64,NEW,CV,6/19/2018,33.67,20.85,12.1,3.24,,,39.73,32.59,12.36,11.24,0,0,0,25-Oct,0,,
LM7,15,,MM,,,,,,,,40,29.03,12.45,11.23,0,0,0,,,,
HP6,G79,OLD,CV,6/13/2018,41.82,26.43,11.02,6.67,,,44.06,,13.17,11.22,0,0,0,30-Oct,0,,
LP4,W68,NA,IR,6/21/2018,46.23,26.99,17.4,9.79,,,45.56,24.82,17.18,11.21,0,0,0,25-Oct,0,,
HP4,W49,NA,IR,6/21/2018,45.81,25.86,16.11,9.34,,,46.33,24.37,17.07,11.2,0,0,0,29-Oct,0,,
LP5,G86,OLD,CV,6/13/2018,37.06,20.91,8.03,4.1,,,44.34,27.17,10.76,11.19,0,0,0,27-Oct,0,,
LP4,15,,IR,,,,,,,,46.89,25.34,17.19,11.18,0,0,0,25-Oct,0,,
HM5,O65,NEW,CV,6/19/2018,31.48,24.06,13.45,3.37,,,45.09,29.24,10.33,11.13,0,0,2,30-Oct,0,,
HP4,W83,NA,IR,6/21/2018,48.15,25.03,17.82,8.78,,,46.7,22.67,18.2,11.13,0,0,2,29-Oct,0,,
HM4,15,,CV,,,,,,,,40.95,32.52,9.52,11.12,0,0,0,25-Oct,0,,
LM1,G34,NEW,CV,6/20/2018,38.88,21.97,11.96,3.38,,10/15/2018,46.4,31.4,10.85,11.12,0,0,0,22-Oct,0,,
HM1,G82,NEW,CV,6/20/2018,36.27,25.09,11.66,4.17,,10/15/2018,46.56,28.8,9.41,11.11,0,0,0,23-Oct,0,,
LP2,Y10,OLD,CV,6/13/2018,29.55,26.31,7.13,3.5,,,41.14,29.16,13,11.09,,,1,25-Oct,0,,
HM9,G70,NEW,CV,6/20/2018,33.9,25.28,11.71,4.63,,,39.85,30.99,10.54,11.07,1,0,0,31-Oct,0,,
LP1,Y51,OLD,CV,6/13/2018,43.56,31.61,7.25,4.27,,15-Oct,45.07,30.62,11.88,11.07,,,,23-Oct,0,,
LM7,W93,OLD,CV,6/19/2018,35.92,26.49,12.07,4.4,,10/19/2018,41.49,31.02,11.15,11.06,0,0,0,1-Nov,0,,
LM2,O28,NEW,CV,6/19/2018,34.63,23.62,11.15,3.64,,10/16/2018,39.72,27.85,12.6,11.05,0,0,0,27-Oct,0,,
,11,,CV,,,,,,,10/16/2018,44.49,28.7,10.95,11.04,0,0,0,,,,
LM6,Y91,NEW,CV,6/19/2018,36.03,33.73,12.76,5.74,,10/18/2018,38.81,28.8,10.2,11.04,0,0,0,29-Oct,0,,
HP9,W85,NA,IR,6/21/2018,44.78,23.36,18.14,9.59,,10/19/2018,13.68,22.07,18.32,11.03,0,0,0,30-Oct,0,,
LM7,W37,OLD,CV,6/19/2018,36.79,29.86,15.15,5.93,,10/19/2018,37.2,29.52,13.57,11.03,0,0,2,1-Nov,0,,
LP5,W25,NA,IR,6/21/2018,45.14,23.77,16.95,8.71,,,45.93,22.59,17.92,10.99,0,0,1,27-Oct,0,,
HP9,O30,OLD,CV,6/12/2018,38.39,26.96,10.94,7.69,,10/19/2018,45.23,32.71,12.02,10.97,0,0,0,30-Oct,0,,
HM8,G37,NEW,CV,6/20/2018,23.33,25.65,9.54,2.79,,,37.33,30.82,11.93,10.96,0,0,0,1-Nov,0,,
HM7,G6,NEW,CV,6/20/2018,34.5,20.37,14.53,3.57,,,45.48,30.77,11.9,10.94,0,0,0,30-Oct,0,,
LM7,Y62,NEW,CV,6/19/2018,39.5,28.31,11.85,5.56,,10/19/2018,40.69,30.56,11.89,10.92,0,0,0,1-Nov,0,,
LP5,O45,OLD,CV,6/12/2018,36.93,34.14,9.98,6.91,,,43.32,29.06,11.8,10.88,0,0,0,27-Oct,0.5,,
LM4,71Y,,CV,,,,,,,10/17/2018,39.29,26.92,11.02,10.84,0,0,0,29-Oct,0,,
LM9,G56,OLD,CV,6/13/2018,37.69,26.09,7.49,4.73,,,39.47,27.84,13.67,10.84,0,0,0,1-Nov,0,,
LM9,G56,NEW,CV,6/20/2018,28.38,23.56,10.49,3.64,,,39.47,27.84,13.67,10.84,0,0,0,1-Nov,0,,
HP2,W30,NA,IR,6/21/2018,42.45,26.45,16.85,8.63,,,42.92,25.62,16.89,10.83,0,1,0,,,,
LM6,Y26,NEW,CV,6/19/2018,31,24.12,11.21,3.12,,10/18/2018,40.59,37.12,10.76,10.82,0,0,0,29-Oct,0,,
HP1,G51,NEW,CV,6/20/2018,42.07,17.5,9.35,3,,,45.14,29.78,11.28,10.77,1,0,1,22-Oct,0,,
LM4,15,,CV,,,,,,,10/17/2018,40.68,26.01,11.06,10.77,2,1,0,29-Oct,0,,
LP9,G75,,CV,,,,,,,,38.37,30.55,13.47,10.77,1,0,0,31-Oct,0,,
HM5,G41,NEW,CV,6/20/2018,45.51,31.15,11.46,6.72,,,43.11,29.29,11.6,10.76,0,0,0,30-Oct,0,,
LM6,Y75,NEW,CV,6/19/2018,26.04,21.52,12.58,2.39,,10/18/2018,41.67,30.9,12.02,10.76,0,0,0,29-Oct,0,,
HM9,G45,NEW,CV,6/20/2018,36.59,24.49,9.64,4.38,,,42.07,30.14,11.51,10.75,1,0,1,,,,
LM9,G86,NEW,CV,6/20/2018,40.4,20.22,11.94,4.19,,,43.9,27.44,11.31,10.75,0,0,0,1-Nov,0,,
LM5,Y6,NEW,CV,6/19/2018,24.29,20.6,8.61,1.83,,10/17/2018,39.8,17.13,12.9,10.74,0,0,0,29-Oct,0,,
LM4,11,,CV,,,,,,,10/17/2018,42.32,27,10.94,10.7,0,0,0,29-Oct,0,,
LP5,Y63,OLD,CV,6/13/2018,35.69,24.41,8.39,3.81,,,39.89,28.21,9.82,10.69,0,0,1,27-Oct,0,,
LM2,O79,NEW,CV,6/19/2018,44.47,26.62,13.62,6.39,,10/16/2018,41.25,28.99,11.6,10.68,0,0,1,27-Oct,0,,
LM6,Y27,NEW,CV,6/19/2018,30.69,23.5,14.33,3.34,,10/18/2018,37.32,32.83,10.85,10.66,0,0,0,29-Oct,0,,
HM2,W38,OLD,CV,6/19/2018,43.43,28.21,16.91,6.14,,10/18/2018,45.64,26.97,11.52,10.65,0,0,0,27-Oct,0,,
HP2,W55,OLD,CV,6/19/2018,39.19,25.83,14.11,5.22,,,43.82,28.94,12.82,10.63,0,0,2,25-Oct,0,,
HM3,Y36,NEW,CV,6/19/2018,27.24,18.33,8.06,2.02,,10/16/2018,38.53,33.48,12.36,10.61,0,0,0,25-Oct,0,,
LP1,W97,NA,IR,6/21/2018,41.23,24.53,14.96,6.67,,15-Oct,43.5,25,16.1,10.61,,,,23-Oct,0,,
LP6,12,NA,IR,6/21/2018,24.05,19.83,7.94,1.83,,,42.61,27.6,17.2,10.59,0,0,0,30-Oct,0,,
LM7,O31,NEW,CV,6/19/2018,47.08,30.39,15.9,7.77,,10/19/2018,43.42,29.57,11.47,10.51,1,0,0,,,,
LP7,O23,OLD,CV,6/12/2018,40.69,27.45,6.81,5.53,,,30.21,33.73,12.48,10.51,0,0,0,30-Oct,0,,
LM8,O24,NEW,CV,6/19/2018,47.81,26.26,16.63,7.83,,10/17/2018,38.93,32.27,9.93,10.48,0,0,1,27-Oct,0,,
LP8,Y49,OLD,CV,6/13/2018,35.96,23.06,9.58,5.09,,,37.98,27.97,12.79,10.47,2,0,0,29-Oct,0,,
LM7,G1,OLD,CV,6/13/2018,40.47,24.43,8.88,6.03,,10/19/2018,40.32,25.88,10.76,10.45,0,0,0,1-Nov,0,,
LM7,G1,NEW,CV,6/20/2018,33.39,19.16,10.67,3.01,,10/19/2018,40.32,25.88,10.76,10.45,0,0,0,,,,
LM5,G11,NEW,CV,6/20/2018,30.94,29.96,12.58,4.93,,10/17/2018,40.69,27.73,10.82,10.43,0,0,0,29-Oct,0,,
HP8,Y89,OLD,CV,6/13/2018,36.22,21.12,7.89,3.19,10/18/2018,10/18/2018,39.82,31.54,11.2,10.4,0,0,3,29-Oct,0,,
HP5,G68,OLD,CV,6/13/2018,49.51,29.9,8.59,9.43,,,40.09,25.47,11.49,10.39,0,0,1,29-Oct,0,,
LM8,13,,CV,,,,,,,,41.1,26.54,11.14,10.39,0,1,0,,,,
LP7,Y87,OLD,CV,6/13/2018,36.02,23.75,7.44,3.59,,,39.17,27.82,11.77,10.39,0,0,0,30-Oct,0,,
LM2,Y56,NEW,CV,6/19/2018,23.66,19.17,10.36,1.63,,10/16/2018,41.31,27.56,10.97,10.36,0,0,0,,,,
LM2,13,,CV,,,,,,,10/16/2018,41.31,27.56,10.97,10.36,0,0,1,,,,
HM3,Y94,NEW,CV,6/19/2018,28.73,23.64,12.75,3.16,,10/16/2018,42.19,32.13,10.22,10.35,0,0,0,25-Oct,0,,
HP4,G45,OLD,CV,6/13/2018,36.84,24.8,8.63,3.94,,,38.33,28.58,11.19,10.31,0,0,0,,,,
LP2,O70,OLD,CV,6/12/2018,33.49,19.88,7.23,3.15,,,44.11,27.98,10.25,10.31,,,,25-Oct,0,,
HP2,W6,OLD,CV,6/19/2018,48.35,35.52,11.62,9.53,,,41.44,29.4,10.89,10.29,2,0,0,25-Oct,0,,
LP6,O98,OLD,CV,6/12/2018,26.26,20.03,6.48,1.87,,,40.77,33.57,11.91,10.29,0,0,0,30-Oct,0,,
LP8,B49,OLD,CV,6/15/2018,40.43,25.48,10.86,4.21,,,36.45,24.58,12.68,10.27,0,0,1,29-Oct,0,,
LP4,O3,,CV,,,,,,,,40.79,30.11,10.16,10.26,0,0,0,25-Oct,0,,
LM2,O90,NEW,CV,6/19/2018,34.19,19.71,9.21,2.27,,10/16/2018,41.62,25.06,11.26,10.25,0,0,0,27-Oct,0,,
HP4,G54,OLD,CV,6/13/2018,49.25,27.77,8.2,7.7,,,42.56,26.46,10.68,10.21,0,0,0,27-Oct,0,,
LP5,O78,,CV,,,,,,,,47.2,25.58,10.15,10.21,0,0,0,27-Oct,0.5,,
LP5,G44,OLD,CV,6/13/2018,49.26,32.19,11.24,10.7,,,34.75,29.35,12.2,10.21,0,0,1,27-Oct,0,,
HP1,W19,OLD,CV,6/19/2018,31.35,25.02,14.87,4.93,,,36.42,26.78,13,10.2,0,0,0,22-Oct,,,
LM2,Y42,NEW,CV,6/19/2018,30.85,16.76,10.55,1.52,,10/16/2018,40.75,28.07,11.7,10.2,0,0,0,27-Oct,0,,
HP4,G89,OLD,CV,6/13/2018,37.78,27.45,7.06,4.67,,,42.02,29.16,8.73,10.18,0,0,0,27-Oct,0,,
LP2,W82,NA,IR,6/21/2018,42.81,24.27,16.94,8.17,,,43.49,24.09,17.57,10.13,,,,27-Oct,0,,
HM2,W8,OLD,CV,6/19/2018,45.59,28.21,12.54,7.01,,10/16/2018,42.45,25.15,10.99,10.12,0,0,0,27-Oct,0,,
LP8,G25,OLD,CV,6/13/2018,42.37,31.01,9.38,6.83,,,41.47,29.3,10.81,10.11,0,0,1,29-Oct,0,,
LP6,Y64,OLD,CV,6/13/2018,44.8,30.08,10.21,7.59,,,39.04,27.57,11.98,10.1,0,0,0,30-Oct,0,,
HP4,W45,NA,IR,6/21/2018,40.84,23.84,15.71,6.62,,,42.4,22.91,17.22,10.09,0,0,0,29-Oct,0,,
LP7,O41,OLD,CV,6/12/2018,41.11,38.7,9.38,8.95,,,48.35,27.33,11,10.09,0,0,0,30-Oct,0,,
HM3,G22,NEW,CV,6/20/2018,40.1,31.44,12.83,7.5,,10/16/2018,40.57,31.35,9.83,10.08,0,0,0,25-Oct,0,,
HM9,O60,NEW,CV,6/19/2018,42.29,23.74,13.64,5.01,,,47.07,25.81,9.93,10.07,0,0,0,31-Oct,0,,
LM8,O12,OLD,CV,6/12/2018,35.08,28.47,9.66,5.24,,10/17/2018,37.75,28.66,11.59,10.07,0,0,0,,,,
LM8,O12,NEW,CV,6/19/2018,29.24,22,8.79,2.89,,10/17/2018,37.75,28.66,11.59,10.07,0,0,0,,,,
HM3,O57,NEW,CV,6/19/2018,37.98,24.19,11.52,5.14,,10/16/2018,41.81,28.29,10.78,10.06,0,0,0,25-Oct,0,,
HP9,Y25,OLD,CV,6/13/2018,37.19,24.59,8.04,3.36,,10/19/2018,49.91,29.65,9.46,10.06,0,0,0,30-Oct,0,,
HM4,G61,NEW,CV,6/20/2018,23.88,24.76,8.61,3,,,46.22,25.64,9.18,10.03,0,0,0,25-Oct,0,,
HP6,G58,OLD,CV,6/13/2018,49.78,27.17,10.05,8.89,,,40.11,29.89,13.38,10.02,,0,1,30-Oct,0,,
HM9,O50,NEW,CV,6/19/2018,53.94,36.34,12.37,11.05,,,38.04,29,13.69,10.01,0,0,0,31-Oct,0,,
HP2,W86,NA,IR,6/21/2018,43.73,25.07,17.53,8.38,,,44.52,25.3,17.16,10.01,0,0,0,25-Oct,0,,
HP8,W15,NA,IR,6/21/2018,45.74,24.67,15.37,8.34,10/18/2018,10/18/2018,47.77,22.83,16.22,10.01,0,0,0,29-Oct,0,,
LP2,O43,OLD,CV,6/12/2018,30.34,22.64,9.24,4.19,,,38.67,28.48,10.66,10.01,,,,25-Oct,0,,
HP7,12,,IR,,,,,,10/18/2018,10/18/2018,39.88,21.07,17.72,9.98,0,0,1,30-Oct,0,eggs/nps 3,
LP5,O1,OLD,CV,6/12/2018,46.71,28.62,11.42,7.01,,,36.48,31.9,11.39,9.97,0,0,0,,,,
HM1,15,,CV,,,,,,,10/15/2018,40.91,25.77,11.35,9.93,0,0,0,23-Oct,0,,
LM2,O89,NEW,CV,6/19/2018,28.61,22.91,9.24,2.8,,10/16/2018,40.66,30.55,10.9,9.9,0,1,0,27-Oct,0,,
LP3,O96,NEW,CV,6/19/2018,37.33,23.33,12.19,4.61,,,44.87,28.7,10.76,9.89,0,0,0,25-Oct,0,,
LM1,Y14,NEW,CV,6/19/2018,28.86,22.01,12.85,2.83,,10/15/2018,38.93,29.53,10.47,9.884,0,0,0,20-Oct,0,,
HP3,W55,NA,IR,6/21/2018,45.79,23.06,17.76,8.59,,,45.25,21.25,18.04,9.85,0,0,0,27-Oct,0,,
LP5,O83,OLD,CV,6/12/2018,42.92,27.57,8.42,6.11,,,42.68,26.23,9.81,9.84,2,0,1,27-Oct,0,,
HP2,Y49,NEW,CV,6/19/2018,34.09,28.31,11.95,5.16,,,39.8,29.97,11.84,9.83,0,0,2,,,,
HM1,G33,NEW,CV,6/20/2018,29.57,29.19,12.86,4.4,,10/15/2018,42.34,25.29,11.07,9.82,0,0,0,23-Oct,0,,
HM5,G66,NEW,CV,6/20/2018,31.58,21.5,8.19,3.04,,,42.57,27.31,10.64,9.82,0,0,0,,,,
HP2,W68,OLD,CV,6/19/2018,33.09,25.01,17.36,4.59,,,37.29,28.55,12.32,9.81,0,0,1,25-Oct,0,,
LM9,W16,OLD,CV,6/19/2018,36.88,24.72,12.33,4.1,,,40.93,31.05,12.45,9.81,0,0,0,1-Nov,0,,
LP8,Y29,,CV,,,,,,,,41.77,29.37,9.87,9.81,0,0,1,29-Oct,0,,
LP3,Y28,NA,IR,6/21/2018,42.56,23.8,15.47,6.38,,,45.48,22.64,15.83,9.8,0,0,0,25-Oct,0,,
LP2,W47,NA,IR,6/21/2018,43.99,22.15,17.2,7.95,,,44.29,20.41,17.98,9.79,,,,,,,
LM5,Y81,NEW,CV,6/19/2018,22.01,19.96,9.54,1.73,,10/17/2018,44.57,25.73,10.62,9.78,0,0,0,29-Oct,0,,
LM4,45G,,CV,,,,,,,10/17/2018,44.02,26.1,12.1,9.74,0,0,0,29-Oct,0,,
LM6,O80,NEW,CV,6/19/2018,34.96,22.8,13.34,4.44,,10/18/2018,46.28,27.27,10.89,9.73,0,0,0,,,,
HP6,G85,OLD,CV,6/13/2018,33.66,19.89,10.03,3.58,,,39.73,28.62,13.37,9.72,0,0,,30-Oct,0,,
HM3,15,,CV,,,,,,,,43.69,25.49,10.49,9.67,0,0,0,,,,
HM8,Y28,NEW,CV,6/19/2018,54.77,24.53,15.87,8.29,,,42.54,27.36,10.48,9.67,0,0,0,1-Nov,0,,
LM5,Y96,NEW,CV,6/19/2018,24.11,21.14,8.18,2.87,,10/17/2018,39.88,27.43,11.67,9.67,0,1,0,29-Oct,0,,
LP9,B22,,CV,,,,,,,,41.39,17.35,11.41,9.67,0,0,0,31-Oct,0,,
LM7,W92,OLD,CV,6/19/2018,36.01,28.32,13.43,5.69,,10/19/2018,34.77,25.99,12.52,9.58,0,0,1,1-Nov,0,,
HP5,G98,OLD,CV,6/13/2018,49.2,30.09,10.64,8.07,,,40.33,27.22,12.04,9.57,0,0,0,29-Oct,0,,
LP5,O59,OLD,CV,6/12/2018,36.11,22.06,8.76,5.08,,,39.26,29.46,10.25,9.57,0,0,0,27-Oct,0,,
HP9,O67,OLD,CV,6/12/2018,39.27,26.51,8.02,4.85,,10/19/2018,44.42,26.34,13.04,9.54,0,0,1,30-Oct,0,,
HP3,Y18,NEW,CV,6/19/2018,39.36,20.98,14.04,4.41,,,38.89,30.59,11.49,9.52,0,0,0,27-Oct,0,,
HP4,G93,OLD,CV,6/13/2018,46.77,24.36,9.49,6.4,,,42.97,26.97,10.21,9.51,0,0,1,27-Oct,0,,
HP8,W24,NA,IR,6/21/2018,41.29,26.3,14.94,7.34,10/18/2018,10/18/2018,42.61,26.22,15.93,9.5,0,0,0,,,,
LM3,15,,CV,,,,,,,10/18/2018,37.12,28.04,12.68,9.5,0,0,0,27-Oct,0,,
HM7,O39,NEW,CV,6/19/2018,42.94,30.44,16.75,7.14,,,41.1,29.85,10.41,9.49,0,0,0,,,,
HP8,W81,NA,IR,6/21/2018,40.29,24.48,17.93,8.04,10/18/2018,10/18/2018,40.6,22.58,17.44,9.47,0,0,0,29-Oct,0,,
,15,,CV,,,,,,,,43.5,28.16,13.82,9.45,0,0,1,,,,
HP4,W80,NA,IR,6/21/2018,40.73,21.23,16.42,7.11,,,43.2,22.1,15.64,9.45,0,1,0,29-Oct,0,,
HP6,Y48,NA,IR,6/21/2018,40.66,22.22,16.51,7.07,,,41.76,20.55,17.13,9.45,0,0,1,,,,
LP8,G20,OLD,CV,6/13/2018,48.26,26.27,9.85,7.47,,,56.39,33.29,11.75,9.45,0,0,1,29-Oct,0,,
HP9,W13,NA,IR,6/21/2018,44.44,23.34,16.39,6.86,,10/19/2018,44.54,21.37,15.54,9.41,0,0,1,30-Oct,0,,
LM3,13,,CV,,,,,,,10/18/2018,42.64,25.32,10.9,9.41,0,1,0,27-Oct,0,,
LP3,O29,OLD,CV,6/12/2018,54.26,36.06,13.4,13.94,,,39.99,29.27,10.98,9.39,0,0,0,25-Oct,0,,
HP1,B77,OLD,CV,6/15/2018,32.56,24.02,9.7,3.49,,,37.87,28.88,11.27,9.38,0,0,1,25-Oct,0.5,,
HP2,W84,NA,IR,6/21/2018,39.43,22.21,16.52,6.73,,,42.28,22.79,17.54,9.37,0,0,0,25-Oct,0,,
HM5,G38,NEW,CV,6/20/2018,35.85,24.77,12.82,4.34,,,42.39,27.26,10.81,9.36,0,0,0,30-Oct,0,,
HP1,W34,OLD,CV,6/19/2018,40.84,24.2,11.52,4.18,,,39.07,28.19,10.81,9.36,0,0,0,,,,
HP4,W87,NA,IR,6/21/2018,45.11,23.67,16.55,9.32,,,43.49,20.45,16.45,9.35,0,0,1,29-Oct,0,,
LP8,B43,OLD,CV,6/15/2018,54.49,38.16,13.56,11.67,,,41.95,27.01,10.61,9.35,0,0,0,29-Oct,0,,
HP2,W56,NA,IR,6/21/2018,41.93,22.92,16.98,7.94,,,42.07,23.6,16.09,9.34,0,0,0,25-Oct,0,,
LP4,O81,OLD,CV,6/12/2018,44.45,25.59,8.97,5.69,,,38.4,29.26,12.9,9.34,0,0,0,25-Oct,0,,
LP2,O72,,CV,,,,,,,,38.3,24.09,11.54,9.31,,,,25-Oct,0,,
LP6,O36,OLD,CV,6/12/2018,35.66,28.54,10.61,5.82,,,39.78,30.82,10.62,9.3,0,0,1,30-Oct,0,,
LM4,30G,,CV,,,,,,,10/17/2018,39.71,27.96,10.61,9.29,0,0,1,29-Oct,0,,
LM8,W11,OLD,CV,6/19/2018,35.58,20.75,9.54,3.62,,10/17/2018,41.61,26.91,10.81,9.25,0,0,0,27-Oct,0,,
LM1,15,,CV,,,,,,,10/15/2018,41.58,29.21,10.58,9.23,0,0,0,22-Oct,0,,
LM9,Y40,OLD,CV,6/13/2018,34.83,24.29,8.65,3.9,,,39.84,30.08,10.33,9.23,0,0,0,1-Nov,0,,
LM9,Y40,NEW,CV,6/19/2018,28.34,22.8,10.68,2.24,,,39.84,30.08,10.33,9.23,0,0,0,,,,
LM6,G7,NEW,CV,6/20/2018,41.55,26.41,9.8,6.16,,10/18/2018,38.5,29.02,10.2,9.19,0,0,0,29-Oct,0,,
LM2,Y8,NEW,CV,6/19/2018,33.33,24.35,14.36,3.36,,10/16/2018,40.77,27.66,9.49,9.17,0,0,0,27-Oct,0,,
HP2,W79,OLD,CV,6/19/2018,33.15,23.71,11.47,3.91,,,39.76,28.94,10.82,9.16,0,0,0,25-Oct,0,,
HP2,G4,NEW,CV,6/20/2018,34.77,26.83,14.71,4.18,,,40.04,29.49,11.99,9.16,0,0,0,25-Oct,0,,
HP2,W53,OLD,CV,6/19/2018,33.44,26.43,11.71,4.69,,,36.1,26.47,11.4,9.15,0,0,0,25-Oct,0,,
LP9,Y61,NA,IR,6/21/2018,40.2,25.48,15.77,6.66,,,40.22,27.72,35.52,9.15,1,0,1,31-Oct,0,,
HP7,G33,OLD,CV,6/13/2018,39.99,26.1,9.61,4.84,10/18/2018,10/18/2018,35.84,30.74,9.98,9.12,0,0,0,30-Oct,0,nps,
LP8,O27,OLD,CV,6/12/2018,33.41,28.72,7.98,6.04,,,39.76,28.08,10.04,9.11,0,0,0,29-Oct,0,,
HP2,W13,OLD,CV,6/19/2018,33.27,25.25,12.28,3.82,,,37.61,27.1,10.65,9.09,0,0,0,25-Oct,0,,
HP5,G99,OLD,CV,6/13/2018,40.91,29.77,8.71,6.49,,,41.09,28,8.97,9.09,0,0,0,,,,
LM8,Y90,OLD,CV,6/13/2018,36.58,24.03,9.48,4.85,,10/17/2018,39.91,26.83,11.51,9.09,0,0,0,27-Oct,0,,
LP1,W16,NA,IR,6/21/2018,42.06,24.51,16.35,7.47,29-Jun,15-Oct,42.74,23.37,16.36,9.09,,,,23-Oct,0,,
LM7,O97,NEW,CV,6/19/2018,35.08,18.87,11.87,2.49,,10/19/2018,36.73,29.08,11.34,9.04,0,0,1,1-Nov,0,,
LM9,15,,CV,,,,,,,,41.51,29.8,10.22,9.04,0,0,1,,,,
LP4,W31,,IR,,,,,,,,40.1,24.05,15.35,9.04,0,0,0,25-Oct,0,,
HP8,W74,NA,IR,6/21/2018,44.45,22.63,17.12,8.84,10/18/2018,10/18/2018,44.59,21.72,16.76,9.03,0,0,0,29-Oct,0,,
HP5,G94,OLD,CV,6/13/2018,36.41,23.29,7.48,3.22,,,37.06,28.06,12.43,9.02,0,0,0,,,,
HP6,B31,OLD,CV,6/15/2018,40.92,23.96,10,4.7,,,41.45,27.36,12.59,9.02,0,0,0,30-Oct,0,,
LM4,32O,,CV,,,,,,,10/17/2018,34.98,29.12,9.31,9,0,0,0,29-Oct,0,,
